,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
20,gp:AOqpTOFHpvlJxFyvFn6WUQaXrZYybVY0dZCDl5EwFtOO3p-thQ_ylGDt1yk2e-2URGIAVXo32kqe8BcOFYFHlw,crash the gaming master,https://lh3.googleusercontent.com/a-/AOh14GjCUk9evDx3rJvG0-tvlhmQZzpadqetF4tu6qPl,Great but I want to put an image in the background of another image I deleted the background of the image but I can't put the other image there Edit 1: I just put the background image first and it worked Edit 2: layers are too complicated,4,6,2.4.1,2019-12-25 06:46:25,"Hi, you could use the layers to do that. HTH!",2019-11-16 18:43:02
21,gp:AOqpTOFwD-0TSi9Z8z28LhVEmTRxOlyVu-Jpmzfrgwf9SZ9UfPHrp3gXO-z0qU6yMUT5mcaRu8b23XqidF8HAg,Maleko Kay,https://lh3.googleusercontent.com/a-/AOh14GjAFRqL-W5jdjTq41cH4BrLeY5yXv_CgJ7PjO7PBA,"After downloading & deleting multiple apps in an attempt to find what I was looking for, which was a simple program to paint over a glitch in a photo, I finally found this, and it worked Simply & Beautifully & Perfectly ! ! ! So I'm giving it 5 Stars, and I haven't even checked out any other features yet, but just a quick look at the other menu items leaves me impressed with the other tools, that I know will work just as well, AND, NO Fee's, Ad's or Intrusive Permissions, so, 10 STARS ! ! !",5,22,2.3.2,2019-05-05 14:27:11,,
22,gp:AOqpTOF4lh8zCtiBUFgQYQ51-ScIW5WKMA0H-eeChOixzRfsafas3I4aAEm2WvzBZ899p2Gu8sIujHjNl_YKaQ,Jacob Howie,https://lh3.googleusercontent.com/-3BTiSnionuI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8Vn0M3rDh11AoNokiRIj6JTmosg/photo.jpg,"There is only one type of brush available, no other styles. Also, if you go off the app (not close it, just visit Google for instance) it will delete your current project.",2,13,2.4.1,2020-01-25 19:19:52,"Fixing these issues is planned for the future. Sorry, we are just pro-bono volunteers working in our free time on this free open source non-profit project... any help, e.g., as a developer would be highly appreciated. Thanks!",2020-04-26 12:47:40
23,gp:AOqpTOHwAJ__gMSMNu_EDRQRFvuMg-Bq561g_BVMjgU9IR93wD48cKFQqzdmZDSMcl7Yw-Plb8KFCnkVjvTl5g,Franklin E.,https://lh3.googleusercontent.com/-twpTkIKIKBM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclugdynq5xxnm7wCE-mCFte0Z6tcw/photo.jpg,"You Should Try Automatic - Save, That Way If Anything Happens, What's Left Behind Will Still Be There, The Next Time You Come Back, Just One Good Update For That Will Do.",4,0,,2019-12-04 23:27:52,,
24,gp:AOqpTOEY3cpYLI1P4Ztjx-M-f9dYcBsSUOKqPpcisLvYIlWka5gFpInj0kbHUKiitvOEhcVloF8fmtmcb5QVfA,Fozzie,https://lh3.googleusercontent.com/a-/AOh14GgL-YtE9IowM42xRR_wUv4xMN2LaREQOOXRuJF3,"It is a really good app, it lets me draw things and add layers and make posters. I reccomend it definitely but i would like there to be a ddisable autoscroll option. Thanks for the app it is actually really good unlike some other apps although there was a reveiw that claimed that it scales the imported images down to a bad scale and they are right this should be fixed. Once again thank you",4,5,,2019-10-14 04:18:44,,
25,gp:AOqpTOEwLxwLUrxVByP2cLjQCChPE7UmEh8wKR0ZsuqoMMGw_lbYRPQL3zi_-QpahoE5_JmIeO8z2vpwit3T3g,Jesus Ramirez,https://lh3.googleusercontent.com/a-/AOh14Gg3-LVMj_eE5X0BljqgDP27-m2auLDm0_IGAlXo,It is the best top that I can draw in without having a bunch of ads it is the best and I hope whoever reads it changes their mind on getting another one cuz this is the best out of the best,5,21,2.4.1,2019-11-25 00:08:22,,
26,gp:AOqpTOHrPt0IAOiZTxrHzqVtEBYq6_e5rA20gXUzX0loyIqDwH0kEmPXdQ7M8oLuiw9Gg7CQsLACC7zVnJCUBQ,Bread Is Yum,https://lh3.googleusercontent.com/a-/AOh14GgYHI1iz2uyXye9X93Uy1RQMvm_HQlRY5lqPdEs,"This app is incredibly amazing, best app ever!!!, honestly i thought this wouldnt work like the other apps ive downloaded so far. I was wrong apparently. Ive been using it for some time now and im satisfied with the art that i do. I have improved during the time ive been using this app.5 star rating because why not?, it is one of the best art tools ive used.in my opinion this is even better that ibispaint X (no offense) i am extremely surprised by my improvement in art. :)",5,4,,2019-10-12 06:12:26,,
27,gp:AOqpTOHyZWcknuEwqbSTgDUwx50RTEGqqbmR--6x5ReR5jiP0mWPlfCw0j2UWD-sDqF78pQppYb2lQrv70CR1Q,Preetha Venkatesh,https://lh3.googleusercontent.com/-i1e-3AKwlH8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckecsWb5tsaLIaER4MCtZyFhPFIVg/photo.jpg,"This app is very fantastic app for drawing and background change is very good and fun ,I enjoy the app",5,2,2.4.1,2020-04-18 10:59:54,,
28,gp:AOqpTOH27CET-gU3163Fj8kuExCKpLAt8D6lAv-WL7RD_ObAv0OOx7IxAetq3PaM-ico3zkjebQZXkSNEbXdFA,Sundavr Astaton,https://lh3.googleusercontent.com/a-/AOh14Ggl1_xHpR0QG88UVQQHvAqsvQnsherZbrA0aJ3K,"Perfect for my needs. All I wanted was to crop images and add transparency to background. Conveniently, applying transparency with this app is just like applying a color: just select transparent on the colors and apply it with color fill tool.",5,0,2.1.2,2018-11-29 06:59:39,,
29,gp:AOqpTOFrIqCFWDGwBysKZ1T6vEeEYYu0H_cCvS06ScA-hktDd087SbPb_7hNejQRCMI72w8UW7aB9RJSx0mE_Q,Simon Jepps,https://lh3.googleusercontent.com/a-/AOh14Gjq7SMK0PKEqA8R_piGV76yvc0dV5PvqIqBk175,"Best free image program in the world. Only issue is very few fonts and available font sizes can't be set at less than 20px, requiring manual resize of selection. This makes it difficult to be accurate gauging smaller sizes. Would love Lucida Handwriting to be installed.",5,5,2.4.1,2019-10-29 20:51:33,,
